iter	Passed	Remaining
871	1162	170
872	1163	169
873	1164	167
874	1165	166
875	1166	165
876	1167	163
877	1169	162
878	1170	161
879	1171	159
880	1172	158
881	1174	157
882	1175	155
883	1176	154
884	1177	153
885	1178	151
886	1180	150
887	1181	148
888	1182	147
889	1183	146
890	1184	144
891	1185	143
892	1186	142
893	1187	140
894	1188	139
895	1190	138
896	1191	136
897	1192	135
898	1193	134
899	1194	132
900	1195	131
901	1196	130
902	1197	128
903	1198	127
904	1199	125
905	1200	124
906	1202	123
907	1203	121
908	1204	120
909	1205	119
910	1207	117
911	1208	116
912	1209	115
913	1210	113
914	1211	112
915	1212	111
916	1213	109
917	1214	108
918	1215	107
919	1216	105
920	1218	104
921	1219	103
922	1220	101
923	1222	100
924	1223	99
925	1224	97
926	1225	96
927	1226	95
928	1227	93
929	1228	92
930	1229	91
931	1230	89
932	1232	88
933	1233	87
934	1234	85
935	1236	84
936	1237	83
937	1238	81
938	1239	80
939	1240	79
940	1241	77
941	1242	76
942	1243	75
943	1245	73
944	1246	72
945	1247	71
946	1248	69
947	1250	68
948	1251	67
949	1252	65
950	1253	64
951	1254	63
952	1255	61
953	1256	60
954	1257	59
955	1259	57
956	1260	56
957	1261	55
958	1262	53
959	1263	52
960	1265	51
961	1266	50
962	1267	48
963	1268	47
964	1269	46
965	1270	44
966	1272	43
967	1273	42
968	1274	40
969	1275	39
970	1276	38
971	1277	36
972	1278	35
973	1280	34
974	1281	32
975	1282	31
976	1283	30
977	1284	28
978	1285	27
979	1286	26
980	1288	24
981	1289	23
982	1290	22
983	1291	21
984	1293	19
985	1294	18
986	1296	17
987	1297	15
988	1298	14
989	1299	13
990	1301	11
991	1302	10
992	1303	9
993	1304	7
994	1306	6
995	1307	5
996	1308	3
997	1310	2
998	1311	1
999	1312	0
